nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Gili Kedis,-8.7304951,116.0256309,"Gili Kedis, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Barat
Gili Meno,-8.3505557,116.0569626,"Gili Meno, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
Gili Nanggu,-8.7177365,116.0086591,"Gili Nanggu, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Barat
Gili Petelu,-8.8543323,116.5710632,"Gili Petelu, tanjung skuie, Jerowaru, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
Gili Sulat,-8.3284019,116.7246605,"Gili Sulat, Sambelia, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
Gili Trawangan,-8.3503396,116.0362621,"Gili Trawangan, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
Discovery Shopping Mall,-8.7287042,115.1686537,"GM Discovery Shopping Mall Room, Jalan Kartika Plaza, Kuta, Badung, Bali, Nusa Tenggara, 80361, Indonesia",Bali,Badung
Goa Gajah,-8.5235369,115.2867536,"Goa gajah, Raya Teges, Pejeng-Guliang, Bedulu, Gianyar, Bali, Nusa Tenggara, 80515, Indonesia",Bali,Gianyar
Goa Gong,-8.1650433,110.9800128,"Goa Gong, Pule, Bomo, Pacitan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Pacitan
Goa Jatijajar,-7.66984,109.4235289,"Goa Jatijajar, Jalan Candirenggo Jatijajar, Jatijajar, Kebumen, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kebumen
Goa Jomblang,-8.0286285,110.6382419,"Goa Jomblang, Jalan Pacarejo, Pacarejo, Semanu, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55813, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
Goa Batu,-1.8037667,115.9198139,"Goa Loyang, Gang Anugrah, Tokare, Batu Kajang, Paser, Kalimantan Timur, Kalimantan, 76252, Indonesia",Kalimantan Timur,Paser
